,raw
1641,0.665
1642,0.675
1643,0.645
1644,0.685
1645,0.63
1646,0.67
1647,0.71
1648,0.74
1649,0.705
1650,0.655
1651,0.705
1652,0.66
1653,0.695
1654,0.715
1655,0.65
1656,0.745
1657,0.72
1658,0.66
1659,0.705
1660,0.6
1661,0.72
1662,0.705
1663,0.74
1664,0.75
1665,0.62
1666,0.655
1667,0.715
1668,0.765
1669,0.735
1670,0.635
1671,0.715
1672,0.7
1673,0.75
1674,0.765
1675,0.68
1676,0.7
1677,0.765
1678,0.73
1679,0.77
1680,0.615
1681,0.725
1682,0.8
1683,0.79
1684,0.805
1685,0.62
1686,0.755
1687,0.815
1688,0.805
1689,0.8
1690,0.655
1691,0.76
1692,0.81
1693,0.815
1694,0.77
1695,0.715
1696,0.775
1697,0.795
1698,0.795
1699,0.8
1700,0.695
1701,0.795
1702,0.795
1703,0.78
1704,0.815
1705,0.745
1706,0.775
1707,0.81
1708,0.805
1709,0.81
1710,0.7
1711,0.76
1712,0.825
1713,0.795
1714,0.82
1715,0.74
1716,0.795
1717,0.825
1718,0.81
1719,0.835
1720,0.745
1721,0.765
1722,0.82
1723,0.795
1724,0.8
1725,0.74
1726,0.77
1727,0.835
1728,0.81
1729,0.815
1730,0.73
1731,0.8
1732,0.81
1733,0.81
1734,0.805
1735,0.71
1736,0.77
1737,0.825
1738,0.805
1739,0.815
1740,0.745
1741,0.78
1742,0.81
1743,0.82
1744,0.8
1745,0.68
1746,0.78
1747,0.815
1748,0.825
1749,0.81
1750,0.75
1751,0.78
1752,0.81
1753,0.8
1754,0.825
1755,0.72
1756,0.765
1757,0.815
1758,0.82
1759,0.81
1760,0.745
1761,0.81
1762,0.845
1763,0.83
1764,0.81
1765,0.765
1766,0.81
1767,0.825
1768,0.83
1769,0.825
1770,0.765
1771,0.785
1772,0.835
1773,0.815
1774,0.83
1775,0.755
1776,0.79
1777,0.805
1778,0.82
1779,0.815
1780,0.775
1781,0.8
1782,0.81
1783,0.83
1784,0.815
1785,0.79
1786,0.78
1787,0.83
1788,0.845
1789,0.835
1790,0.75
1791,0.8
1792,0.83
1793,0.825
1794,0.845
1795,0.735
1796,0.81
1797,0.82
1798,0.81
1799,0.805
1800,0.5
1801,0.55
1802,0.525
1803,0.595
1804,0.56
1805,0.575
1806,0.565
1807,0.575
1808,0.595
1809,0.59
1810,0.605
1811,0.6
1812,0.595
1813,0.605
1814,0.625
1815,0.605
1816,0.63
1817,0.615
1818,0.615
1819,0.635
1820,0.645
1821,0.665
1822,0.625
1823,0.665
1824,0.66
1825,0.7
1826,0.62
1827,0.63
1828,0.605
1829,0.605
1830,0.65
1831,0.68
1832,0.68
1833,0.7
1834,0.67
1835,0.705
1836,0.695
1837,0.705
1838,0.665
1839,0.66
1840,0.66
1841,0.645
1842,0.695
1843,0.675
1844,0.69
1845,0.7
1846,0.685
1847,0.695
1848,0.7
1849,0.705
1850,0.7
1851,0.715
1852,0.775
1853,0.745
1854,0.715
1855,0.725
1856,0.71
1857,0.73
1858,0.685
1859,0.745
1860,0.65
1861,0.71
1862,0.745
1863,0.75
1864,0.7
1865,0.685
1866,0.695
1867,0.745
1868,0.675
1869,0.765
1870,0.66
1871,0.755
1872,0.74
1873,0.75
1874,0.76
1875,0.725
1876,0.73
1877,0.77
1878,0.74
1879,0.76
1880,0.76
1881,0.755
1882,0.82
1883,0.78
1884,0.8
1885,0.735
1886,0.815
1887,0.805
1888,0.82
1889,0.77
1890,0.795
1891,0.76
1892,0.785
1893,0.775
1894,0.805
1895,0.765
1896,0.78
1897,0.81
1898,0.81
1899,0.815
1900,0.8
1901,0.78
1902,0.77
1903,0.81
1904,0.795
1905,0.76
1906,0.77
1907,0.79
1908,0.82
1909,0.795
1910,0.805
1911,0.795
1912,0.8
1913,0.795
1914,0.81
1915,0.8
1916,0.81
1917,0.795
1918,0.85
1919,0.785
1920,0.78
1921,0.825
1922,0.825
1923,0.835
1924,0.8
1925,0.83
1926,0.805
1927,0.81
1928,0.825
1929,0.82
1930,0.79
1931,0.82
1932,0.795
1933,0.825
1934,0.815
1935,0.805
1936,0.785
1937,0.81
1938,0.83
1939,0.835
1940,0.82
1941,0.805
1942,0.825
1943,0.795
1944,0.84
1945,0.825
1946,0.83
1947,0.815
